SMILES,pIC50,logP
O=C(CCCN1CCC2(c3ccc(Cl)cc3)CC2C1)c1ccc(F)cc1,9.84,5.105600000000005
O=C(CCCN1CCC(O)(c2ccc(Cl)c(Cl)c2)CC1)c1ccc(F)cc1,9.84,5.079000000000004
CCCN(CCCCOc1ccc2c(/C=N/O)cnn2c1)[C@H]1CCc2c(O)cccc2C1,9.8,4.276500000000003
COc1ccccc1N1CCN(CCCCOc2ccn3ncc(C#N)c3c2)CC1,9.8,3.195780000000002
O=C(O)C(=O)O.Oc1ccc2c(c1)O[C@@H](CNCc1ccccc1I)CC2,9.79,2.6358000000000006
CCCN(CCCCOc1ccn2ncc(/C=N\O)c2c1)[C@H]1CCc2c(O)cccc2C1,9.77,4.276500000000003
O=C(NCCCCN1CCN(c2ccccc2OCCF)CC1)c1ccc(-c2ccsc2)cc1,9.77,5.095600000000005
O/N=C/c1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,9.77,4.430400000000004
CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,9.74,4.335500000000003
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,9.72,4.858700000000004
COc1ccccc1N1CCN(CCOc2ccc3[nH]c(=S)[nH]c3c2)CC1,9.72,3.4350900000000015
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,9.7,4.859300000000005
O=C(NCCN1CC=C(c2cccc(C(F)(F)F)n2)CC1)C1CCC(F)(F)CC1,9.7,4.131200000000003
O=C1CCc2ccc(OCCCCN3CCCN(c4cccc(Cl)c4Cl)CC3)cc2N1,9.7,5.249400000000005
O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc2ccccc2c1,9.7,3.966400000000003
Oc1ccc(C2=CCC[C@@H](CN3CC=C(c4ccccc4)CC3)C2)cc1,9.7,5.3650000000000055
O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccc4[nH]ccc4c3O1)CC2,9.7,2.7362
CCCCc1cc(-c2ccsc2)cc(N2CCN(C)CC2)n1,9.7,3.904500000000003
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccc[nH]1,9.68,4.125300000000003
CN1CCN(C(=O)CCCN2CCN(c3cccc(Cl)c3Cl)CC2)C(C(=O)NCc2ccccc2)C1,9.67,3.3546000000000014
COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1.O=C(O)C(=O)O,9.66,2.7167
O=c1[nH]c2ccc(CCN3CCN(c4cccc5sc(F)cc45)CC3)cc2[nH]1,9.66,3.5747000000000027
O=C(Cc1coc2ccccc12)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,9.64,5.472300000000005
c1ccc(-c2cccc(CN3CCN4c5cccc6[nH]cc(c56)CC4C3)c2)cc1,9.64,5.081800000000004
O=C1CCc2ccc(CCN3CCN(c4cccc5sc(F)cc45)CC3)cc2N1,9.62,4.289800000000003
COc1cc(N)c(Cl)cc1C(=O)NC1CC2CCCC(C1)N2Cc1ccccc1,9.6,4.246300000000004
O=C(O)C(=O)O.O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2N1,9.59,3.056400000000001
O=C(Cc1cccs1)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,9.57,4.787600000000005
COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CO3)CC1,9.52,3.0073000000000008
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,9.52,4.724000000000004
O=C1NCc2ccc(OCCCN3CCN(c4cccc5c4CCC5)CC3)cc21,9.52,3.009800000000001
COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,9.52,3.5611000000000024
CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1)[C@H]1CCc2c(O)cccc2C1,9.52,5.392200000000005
